ident,latitude_deg,longitude_deg,term
FKKN,7.357,13.5592,
SVRG,7.35,-69.35,
SVBJ,7.3217,-69.67,
SVAM,7.3167,-69.2,
SVWA,7.3167,-67.9083,
FEGF,7.3141,18.3088,
SVCX,7.3,-68.3667,
SVEL,7.3,-61.8,
SVOI,7.3,-68.0667,
SVLY,7.2833,-68.5333,
DNAK,7.2467,5.301,
SVQJ,7.2333,-69.1,
SVER,7.2167,-68.9833,
SVFX,7.2133,-69.4967,
SVLD,7.2033,-69.5367,
SVFL,7.2,-68.1333,
SVOW,7.2,-68.5167,
SVYP,7.2,-69.3167,
VTSH,7.1866,100.608,
VCBI,7.1808,79.8841,
SVLH,7.1667,-69.3833,
SVXF,7.15,-69.25,
SVPG,7.1333,-68.5833,
SVVK,7.1333,-69.05,
SVPD,7.1,-67.9,
SVQB,7.05,-67.7667,
SVRT,7.05,-68.5667,
SVSQ,7.0333,-68.3333,
ULDD,69.7633,61.5564,
UOOO,69.3111,87.3322,
UHMI,68.8683,-179.373,
ULMM,68.7817,32.7508,
CYEV,68.3042,-133.483,
UOIC,68.0767,87.645,
UEBW,67.5431,133.3988,
PACX,67.2522,-150.204,
ESNG,67.1324,20.8146,
8AK3,66.766,-160.153,
CAJ2,66.4911,-136.573,
USMU,66.0694,76.5203,
BIID,66.05,-23.6961,
BIBK,66.0219,-14.8244,
BIRS,65.9142,-22.4214,
4Z2,65.9049,-163.329,
BIAE,65.9047,-22.3633,
BIKR,65.7317,-19.5728,
AK98,65.6387,-167.486,
BIGS,65.6325,-16.1483,
ESNX,65.5903,19.2819,
BIVH,65.5569,-19.4281,
AK02,65.5399,-161.062,
USMM,65.4809,72.6989,
BIKJ,65.467,-21.95,
BIRE,65.4526,-22.2061,
5QC,65.4059,-164.656,
20K,65.354,-149.762,
CYVQ,65.2816,-126.798,
83AK,65.2565,-148.83,
K29,64.8979,-163.703,
AK52,64.8889,-147.536,
BIHI,64.8861,-19.4925,
2Z5,64.8329,-147.848,
3Z1,64.8317,-166.132,
AK28,64.814,-147.919,
MTF,64.8068,-147.762,
BIKA,64.7789,-22.2569,
5AK2,64.7307,-147.348,
BIND,64.7206,-18.0667,
BIKE,64.705,-19.4106,
BIHZ,64.6997,-20.8836,
7AK0,64.6474,-151.81,
ESNS,64.6248,21.0769,
ULAA,64.6003,40.7167,
PAOM,64.5122,-165.445,
76AK,64.4675,-144.921,
UHMD,64.3781,-173.243,
CYBK,64.2989,-96.0778,
BIMS,64.1811,-21.7078,
BISV,64.1158,-18.7833,
BISS,64.0608,-21.5747,
AK09,64.0496,-145.502,
CYDA,64.0431,-139.128,
2Z3,64.042,-148.863,
BIVA,64.0331,-20.6511,
9AK,64.0257,-148.522,
USHB,63.921,65.0305,
BIGH,63.8533,-20.2628,
BIHL,63.8358,-20.3775,
BIMK,63.7142,-19.8792,
